Race,2000,2010,2020
Whitealone,2.15E+08,2.26E+08,2.05E+08
BlackorAfricanAmericanalone,3.50E+07,3.94E+07,4.13E+07
AmericanIndianandAlaskaNativealone,2489292,2952087,3745005
Asianalone,1.03E+07,1.47E+07,1.99E+07
NativeHawaiianandOtherPacificIslanderalone,399928,540383,690559
SomeOtherRacealone,1.56E+07,1.94E+07,2.88E+07
Populationoftwoormoreraces,6984643,9131319,3.55E+07
Populationoftworaces,6514528,8374845,3.34E+07
WhiteBlackorAfricanAmerican1,873088,1897764,3094820
WhiteAmericanIndianandAlaskaNative1,1083938,1434214,3970682
WhiteAsian1,869928,1624556,2692220
WhiteNativeHawaiianandOtherPacificIslander1,113374,170315,222624
WhiteSomeOtherRace1,2238214,1765484,2.06E+07
BlackorAfricanAmericanAmericanIndianandAlaskaNative1,183872,271780,395426
BlackorAfricanAmericanAsian1,107356,186089,244002
BlackorAfricanAmericanNativeHawaiianandOtherPacificIslander1,30032,50433,45700
BlackorAfricanAmericanSomeOtherRace1,429128,324938,1263028
AmericanIndianandAlaskaNativeAsian1,53585,59175,51160
AmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslander2,7374,11079,11867
AmericanIndianandAlaskaNativeSomeOtherRace2,97543,118137,395275
AsianNativeHawaiianandOtherPacificIslander2,138854,165720,219393
AsianSomeOtherRace2,252347,235101,188993
NativeHawaiianandOtherPacificIslanderSomeOtherRace2,35895,60060,53735
Populationofthreeraces2,421356,688420,1800949
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNative2,116764,238338,393856
WhiteBlackorAfricanAmericanAsian2,22774,61816,121417
WhiteBlackorAfricanAmericanNativeHawaiianandOtherPacificIslander2,2979,9278,16996
WhiteBlackorAfricanAmericanSomeOtherRace2,46630,49419,308716
WhiteAmericanIndianandAlaskaNativeAsian3,23825,45977,93994
WhiteAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslander3,4847,8662,15689
WhiteAmericanIndianandAlaskaNativeSomeOtherRace3,29341,31171,405765
WhiteAsianNativeHawaiianandOtherPacificIslander3,89646,143140,206125
WhiteAsianSomeOtherRace3,35215,35894,126789
WhiteNativeHawaiianandOtherPacificIslandeSomeOtherRac,8436,9505,14487
BlackorAfricanAmericanAmericanIndianandAlaskaNativeAsian3,5833,9482,12558
BlackorAfricanAmericanAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslander3,1008,2153,3086
BlackorAfricanAmericanAmericanIndianandAlaskaNativeSomeOtherRace3,7201,8508,36438
BlackorAfricanAmericanAsianNativeHawaiianandOtherPacificIslander3,5332,7302,11700
BlackorAfricanAmericanAsianSomeOtherRace4,8313,8221,14387
BlackorAfricanAmericanNativeHawaiianandOtherPacificIslanderSomeOtherRace4,2196,4330,3332
AmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslander4,3070,3829,4021
AmericanIndianandAlaskaNativeAsianSomeOtherRace4,2733,3857,4103
AmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslanderSomeOtherRace4,594,2061,1256
AsianNativeHawaiianandOtherPacificIslanderSomeOtherRace4,4619,5477,6234
Populationoffourraces4,39241,58588,229843
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeAsian4,10715,19048,33262
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslander4,996,2688,5517
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeSomeOtherRace4,5221,9321,121493
WhiteBlackorAfricanAmericanAsianNativeHawaiianandOtherPacificIslander5,2137,4853,9589
WhiteBlackorAfricanAmericanAsianSomeOtherRace5,1526,2460,13218
WhiteBlackorAfricanAmericanNativeHawaiianandOtherPacificIslanderSomeOtherRace5,334,578,1663
WhiteAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslander5,6452,11502,17734
WhiteAmericanIndianandAlaskaNativeAsianSomeOtherRace5,1104,1542,11828
WhiteAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslanderSomeOtherRace5,309,458,1425
WhiteAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace5,7943,3490,8910
BlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslander5,760,1017,1587
BlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianSomeOtherRace5,343,549,1425
BlackorAfricanAmericanAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslanderSomeOtherRace5,111,217,374
BlackorAfricanAmericanAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace6,1082,580,1254
AmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace6,208,285,564
Populationoffiveraces6,8685,8671,22047
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslander6,6643,6630,8674
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianSomeOtherRace6,726,1038,9375
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeNativeHawaiianandOtherPacificIslanderSomeOtherRace6,69,191,1201
WhiteBlackorAfricanAmericanAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace6,385,271,1024
WhiteAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace6,642,443,1321
BlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace6,220,98,452
Populationofsixraces6,833,795,2539
WhiteBlackorAfricanAmericanAmericanIndianandAlaskaNativeAsianNativeHawaiianandOtherPacificIslanderSomeOtherRace7,833,795,2539
Total7,2.85E+08,3.12E+08,3.35E+08
