STUSAB,pop2020,pop2010,pop2000,popGrowth
NV,3104614.0,2700551.0,1998257.0,55.4
UT,3271616.0,2763885.0,2233169.0,46.5
ID,1839106.0,1567582.0,1293953.0,42.1
TX,29145505.0,25145561.0,20851820.0,39.8
AZ,7151502.0,6392017.0,5130632.0,39.4
FL,21538187.0,18801310.0,15982378.0,34.8
CO,5773714.0,5029196.0,4301261.0,34.2
GA,10711908.0,9687653.0,8186453.0,30.8
WA,7705281.0,6724540.0,5894121.0,30.7
NC,10439388.0,9535483.0,8049313.0,29.7
SC,5118425.0,4625364.0,4012012.0,27.6
DE,989948.0,897934.0,783600.0,26.3
OR,4237256.0,3831074.0,3421399.0,23.8
VA,8631393.0,8001024.0,7078515.0,21.9
TN,6910840.0,6346105.0,5689283.0,21.5
ND,779094.0,672591.0,642200.0,21.3
DC,689545.0,601723.0,572059.0,20.5
MT,1084225.0,989415.0,902195.0,20.2
HI,1455271.0,1360301.0,1211537.0,20.1
SD,886667.0,814180.0,754844.0,17.5
AK,733391.0,710231.0,626932.0,17.0
WY,576851.0,563626.0,493782.0,16.8
CA,39538223.0,37253956.0,33871648.0,16.7
MD,6177224.0,5773552.0,5296486.0,16.6
NM,2117522.0,2059179.0,1819046.0,16.4
MN,5706494.0,5303925.0,4919479.0,16.0
OK,3959353.0,3751351.0,3450654.0,14.7
NE,1961504.0,1826341.0,1711263.0,14.6
AL,5024279.0,4779736.0,4447100.0,13.0
AR,3011524.0,2915918.0,2673400.0,12.6
IN,6785528.0,6483802.0,6080485.0,11.6
KY,4505836.0,4339367.0,4041769.0,11.5
NH,1377529.0,1316470.0,1235786.0,11.5
MA,7029917.0,6547629.0,6349097.0,10.7
NJ,9288994.0,8791894.0,8414350.0,10.4
MO,6154913.0,5988927.0,5595211.0,10.0
WI,5893718.0,5686986.0,5363675.0,9.9
KS,2937880.0,2853118.0,2688418.0,9.3
IA,3190369.0,3046355.0,2926324.0,9.0
ME,1362359.0,1328361.0,1274923.0,6.9
NY,20201249.0,19378102.0,18976457.0,6.5
CT,3605944.0,3574097.0,3405565.0,5.9
PA,13002700.0,12702379.0,12281054.0,5.9
VT,643077.0,625741.0,608827.0,5.6
RI,1097379.0,1052567.0,1048319.0,4.7
LA,4657757.0,4533372.0,4468976.0,4.2
MS,2961279.0,2967297.0,2844658.0,4.1
OH,11799448.0,11536504.0,11353140.0,3.9
IL,12812508.0,12830632.0,12419293.0,3.2
MI,10077331.0,9883640.0,9938444.0,1.4
WV,1793716.0,1852994.0,1808344.0,-0.8
PR,3285874.0,3725789.0,3808610.0,-13.7
