StateID,2000 Decade,2010 Decade,2020 Decade,2030 Decade,2040 Decade,2050 Decade
AK,626932,710231,733391,786620,824814,870525
AL,4447100,4779736,5024279,5312868,5579434,5857011
AR,2673400,2915918,3011524,3180586,3312920,3463618
AZ,5130632,6392017,7151502,8161937,9046897,9994594
CA,33871648,37253956,39538223,42371510,44930287,47626319
CO,4301261,5029196,5773714,6509940,7250312,7988611
CT,3405565,3574097,3605944,3706133,3772151,3855254
DC,572059,601723,689545,748288,821570,887582
DE,783600,897934,989948,1093122,1190716,1291100
FL,15982378,18801310,21538187,24316091,27073481,29841128
GA,8186453,9687653,10711908,11974635,13118126,14321235
HI,1211537,1360301,1455271,1577138,1685556,1800698
IA,2926324,3046355,3190369,3322391,3460409,3595429
ID,1293953,1567582,1839106,2111682,2383732,2656045
IL,12419293,12830632,12812508,13009115,13098356,13241280
IN,6080485,6483802,6785528,7138049,7465172,7804994
KS,2688418,2853118,2937880,3062611,3167357,3282095
KY,4041769,4339367,4505836,4737869,4937120,5152762
LA,4468976,4533372,4657757,4752147,4861534,4963422
MA,6349097,6547629,7029917,7370327,7781676,8157555
MD,5296486,5773552,6177224,6617593,7039613,7470807
ME,1274923,1328361,1362359,1406077,1444935,1486223
MI,9938444,9883640,10077331,10146774,10278341,10378846
MN,4919479,5303925,5706494,6100001,6498039,6893811
MO,5595211,5988927,6154913,6434764,6657682,6909066
MS,2844658,2967297,2961279,3019589,3045735,3087963
MT,902195,989415,1084225,1175240,1268152,1360115
NC,8049313,9535483,10439388,11634425,12683896,13806150
ND,642200,672591,779094,847541,935016,1012977
NE,1711263,1826341,1961504,2086624,2216765,2344395
NH,1235786,1316470,1377529,1448400,1514365,1582783
NJ,8414350,8791894,9288994,9726316,10193527,10645793
NM,1819046,2059179,2117522,2266760,2370550,2497064
NV,1998257,2700551,3104614,3657792,4136412,4652311
NY,18976457,19378102,20201249,20813645,21531416,22196499
OH,11353140,11536504,11799448,12022602,12265651,12498752
OK,3450654,3751351,3959353,4213702,4444877,4687639
OR,3421399,3831074,4237256,4645184,5052239,5459730
PA,12281054,12702379,13002700,13363523,13694095,14039792
PR,3808610,3725789,3285874,3024506,2673864,2367859
RI,1048319,1052567,1097379,1121909,1156580,1186180
SC,4012012,4625364,5118425,5671631,6194764,6732933
SD,754844,814180,886667,952578,1021777,1089332
TN,5689283,6346105,6910840,7521618,8109374,8708641
TX,20851820,25145561,29145505,33292347,37365740,41475857
UT,2233169,2763885,3271616,3790839,4304316,4820666
VA,7078515,8001024,8631393,9407832,10111236,10851157
VT,608827,625741,643077,660202,677432,694609
WA,5894121,6724540,7705281,8610861,9554021,10478391
WI,5363675,5686986,5893718,6158739,6394615,6645063
WV,1808344,1852994,1793716,1786402,1753106,1732801
WY,493782,563626,576851,618385,645764,680220
